"Timestamps","Values"
2022-05-24 18:00:00,2811
2022-05-24 18:04:00,2734
2022-05-24 18:08:00,2751
2022-05-24 18:12:00,2715
2022-05-24 18:16:00,2726
2022-05-24 18:20:00,2646
2022-05-24 18:24:00,2672
2022-05-24 18:28:00,2613
2022-05-24 18:32:00,2520
2022-05-24 18:36:00,2465
2022-05-24 18:40:00,2578
2022-05-24 18:44:00,2685
2022-05-24 18:48:00,2542
2022-05-24 18:52:00,2418
2022-05-24 18:56:00,2570
2022-05-24 19:00:00,2519
2022-05-24 19:04:00,2512
2022-05-24 19:08:00,2510
2022-05-24 19:12:00,2386
2022-05-24 19:16:00,2441
2022-05-24 19:20:00,2431
2022-05-24 19:24:00,2371
2022-05-24 19:28:00,2335
2022-05-24 19:32:00,2381
2022-05-24 19:36:00,2330
2022-05-24 19:40:00,2317
2022-05-24 19:44:00,2245
2022-05-24 19:48:00,2439
2022-05-24 19:52:00,2309
2022-05-24 19:56:00,2287
2022-05-24 20:00:00,2258
2022-05-24 20:04:00,2146
2022-05-24 20:08:00,2326
2022-05-24 20:12:00,2219
2022-05-24 20:16:00,2219
2022-05-24 20:20:00,2298
2022-05-24 20:24:00,2263
2022-05-24 20:28:00,2201
2022-05-24 20:32:00,2090
2022-05-24 20:36:00,2194
2022-05-24 20:40:00,2167
2022-05-24 20:44:00,2199
2022-05-24 20:48:00,2174
2022-05-24 20:52:00,2022
2022-05-24 20:56:00,2007
2022-05-24 21:00:00,1997
2022-05-24 21:04:00,1943
2022-05-24 21:08:00,1850
2022-05-24 21:12:00,1819
2022-05-24 21:16:00,1877
2022-05-24 21:20:00,1792
2022-05-24 21:24:00,1788
2022-05-24 21:28:00,1743
2022-05-24 21:32:00,1767
2022-05-24 21:36:00,1837
2022-05-24 21:40:00,1711
2022-05-24 21:44:00,1600
2022-05-24 21:48:00,1573
2022-05-24 21:52:00,1622
2022-05-24 21:56:00,1578
2022-05-24 22:00:00,1529
2022-05-24 22:04:00,1465
2022-05-24 22:08:00,1528
2022-05-24 22:12:00,1531
2022-05-24 22:16:00,1521
2022-05-24 22:20:00,1421
2022-05-24 22:24:00,1443
2022-05-24 22:28:00,1480
2022-05-24 22:32:00,1417
2022-05-24 22:36:00,1470
2022-05-24 22:40:00,1362
2022-05-24 22:44:00,1320
2022-05-24 22:48:00,1350
2022-05-24 22:52:00,1355
2022-05-24 22:56:00,1467
2022-05-24 23:00:00,1394
2022-05-24 23:04:00,1401
2022-05-24 23:08:00,1343
2022-05-24 23:12:00,1485
2022-05-24 23:16:00,1403
2022-05-24 23:20:00,1315
2022-05-24 23:24:00,1285
2022-05-24 23:28:00,1257
2022-05-24 23:32:00,1230
2022-05-24 23:36:00,1319
2022-05-24 23:40:00,1311
2022-05-24 23:44:00,1397
2022-05-24 23:48:00,1367
2022-05-24 23:52:00,1326
2022-05-24 23:56:00,1376
